patent|abs|title1
09559461|A system for aligning a robotic charging connector with a mating connector includes: a robot comprising a charging connector; a self-aligning robotic charging dock comprising a floating interface assembly, the floating interface assembly comprising a floating interface plate, the floating interface assembly further comprising a mating connector, the mating connector configured to snugly mate with the charging connector, the floating interface assembly further comprising a floating interface configured to align the robotic charging connector with the mating connector, the floating interface comprising a sliding surface configured to move against the floating interface plate as the robot docks with the robotic charging dock.|System and method for aligning a robotic charging connector with a mating connector
09560071|A new device for detection and prevention of an attack on a vehicle via its communication channels, having: an input-unit configured to collect real-time and/or offline data from various sources such as sensors, network based services, navigation applications, the vehicles electronic control units, the vehicle's bus-networks, the vehicle's subsystems, and on board diagnostics; a database, for storing the data; a detection-unit in communication with the input-unit; and an action-unit, in communication with the detection unit, configured for sending an alert via the communication channels and/or prevent the attack, by breaking or changing the attacked communication channels. The detection-unit is configured to simultaneously monitor the content, the meta-data and the physical-data of the data and detect the attack.|Device for detection and prevention of an attack on a vehicle
09560991|A system for establishing a hearing ability model of a hearing ability of a person, includes a data storage configured to store a representation of a distribution of a hearing ability of a population of individuals, and a processor configured to establish a hearing ability model representing a hearing ability of the person based at least in part on (i) information regarding a person's response to a stimulus of a hearing evaluation event, and (ii) the representation of the distribution of the hearing ability of the population.|Efficient evaluation of hearing ability
09561081|A control method of a single-port surgical robot, the single-port surgical robot comprising a slave device including a surgical instrument provided with an elbow and an end effector, and a master device to control motion of the slave device may comprise setting a virtual incision port to an arbitrary position; setting an operating position of the end effector; calculating a target position of the elbow using the set position of the virtual incision port and the set operating position of the end effector; calculating a movement angle of each joint used to move the elbow using the calculated target position of the elbow; and/or calculating a movement angle of each joint used to move the end effector using the calculated target position of the elbow and the set operating position of the end effector.|Control methods of single-port surgical robots
09561590|A system is provided, including one or more servers in communication with a robotic system. The one or more servers may be configured to receive operational data from the robotic system, and determine one or more operational performance metrics based on the received operational data. The system may also include a first computing device in communication with the robotic system including a workstation authoring software application configured to program the given task to be completed by the robotic system, and determine one or more subtasks required for the robotic system to perform the given task. The system may also include a second computing device in communication with the robotic system including an operational dashboard software application configured to control various operations of the robotic system, and provide for display a visual representation of the operational data and the operational performance metrics on an interface of the second computing device.|Distributed system for management and analytics of robotics devices
09561591|A robot motion data processing system has a data extraction module for intermittently extracting restoration motion data from a successive input motion trajectory formed for controlling a motion of a robot, and a data restoration module for restoring an output motion trajectory approximate to the input motion trajectory by using restoration motion data extracted from the data extraction module. The output motion trajectory is restored to satisfy a condition that the robot operating according to the output motion trajectory does not exceed a hardware operation limit of the robot.|Robot motion data processing system using motion data reduction/restoration compatible to hardware limits
09561850|A vertical take-off and landing aircraft includes a propulsion mechanism having a fan for generating lift and thrust, an engine for supplying motive power to the propulsion mechanism, a frame coupling the propulsion mechanism and the engine, seating connected to and suspended from the frame so as to be swingable back and forth relative to the frame, a control stick connected to the frame, and a landing undercarriage connected to the seating, wherein the propulsion mechanism is connected to the frame such that the drive shaft of the fan is directed vertically during landing, and the frame is moved relative to the seating by manipulating the control stick, to change the orientation of the propulsion mechanism. The thrust can be controlled with simple configuration, and take-off and landing can be performed safely even in a small space surrounded by obstacles.|Vertical take-off and landing aircraft
09561851|Methods and apparatus for vertical or short takeoff and landing. In one embodiment, the apparatus comprises two or more counter driven rings with one or more airfoils attached. In one variant, there is an upper ring and a lower ring, each with multiple airfoils attached. In one variant, lift is generated largely via ambient air currents, allowing for long term on-station operation of the device.|Vertical short takeoff and landing apparatus
09561861|A power-distribution panel has a circuit-breaker panel that is completely separable from an aircraft and from a back chassis connected to the aircraft. The back chassis is mechanically mounted to the aircraft and electrically connected to both a power-supply bus and a power-distribution harness of the aircraft. The circuit-breaker panel can be removably coupled to the back chassis to complete a plurality of circuits from the power supply bus to a plurality the plurality of circuits that receive power via the power-distribution harness. In some embodiments, the circuit-breaker panel can be slideably coupled to the back chassis without the use of tools. Electrical connectors may provide electrically connectivity between the circuit-breaker panel and the back chassis. The electrical connectors may have back chassis portions that align with circuit-breaker panel portions so as to provide such electrically connectivity automatically when the circuit-breaker panel is coupled to the back chassis.|Power-distribution system providing complete separability between a circuit breaker panel and a chassis
09561871|An aerial vehicle docking system includes a landing pad and an aerial vehicle. The landing pad has a concave landing surface and a depression. The aerial vehicle has landing gear and a protrusion. The protrusion is shaped to mate with the depression. The protrusion and the landing gear are positioned on a bottom surface of the aerial vehicle.|UAV docking system and method
09562181|The present invention relates to two-component polyurethane compositions which on the one hand have a long open time and, even after extended exposure to a climate with high atmospheric humidity (e.g., 70% relative humidity), even after 40 minutes and in particular even after 60 minutes, can still be glued and cured to form polymers having high mechanical strength. The composition comprises castor oil, at least one polyol having 5-8 hydroxyl groups, a mixture of two different polyether alcohols and/or polyester polyols on the basis of castor oil or soybean oil and at least one polyisocyanate. The two-component polyurethane compositions are suitable in particular for non-positive filling joints or gaps that are joined by large-surface area structural gluing, in particular of vane half shells of rotor blades for wind power plants.|Adhesive for filling joints and gaps in rotor blades for wind power plants
09562421|A limited entry perforating phased gun system and method for accurate perforation in a deviated/horizontal wellbore is disclosed. The system/method includes a gun string assembly (GSA) deployed in a wellbore with shaped charge clusters. The charges are spaced and angled such that, when perforated, they intersect at a preferred fracturing plane. Upon fracturing, the fractures initiate at least principal stress location in a preferred fracturing plane perpendicular to the wellbore from an upward and downward location of the wellbore. Thereafter, the fractures connect radially about the wellbore in the preferred fracturing plane. The fracture treatment in the preferred fracturing plane creates minimal tortuosity paths for longer extension of fractures that enables efficient oil and gas flow rates during production.|Limited entry phased perforating gun system and method
09562471|A method of resolving a balanced condition that generates control parameters for start-up and steady state operating points and various component and cycle performances for a closed split flow recompression cycle system. The method provides for improved control of a Brayton cycle thermal to electrical power conversion system. The method may also be used for system design, operational simulation and/or parameter prediction.|Method for controlling start-up and steady state performance of a closed split flow recompression brayton cycle
09562521|A hybrid system for electric power generation from solar-thermal energy and wind energy sources is described. The system includes a wind electric power generation system, a solar-thermal generation system and an air compressing system powered by a wind electric power generation system, and a compressed air storage system. A solar-thermal generation system includes two air receivers illuminated by heliostats to heat compressed atmospheric air provided from a compressed air storage system for driving the solar-thermal generation system. The hybrid system also includes a thermal energy storage system storing thermal energy and preheating the pressurized atmospheric air flow provided by the compressed air storage system.|Hybrid system for electric power generation from solar-thermal energy and wind energy sources
09562581|According to one embodiment, a spring tension adjustment device for adjusting tension in a spring includes a rotation feature and a plurality of spring-attachment features. The rotation feature defines a first axis of rotation. Each spring-attachment feature is configured to receive one end of a spring, each spring-attachment feature being located at a different distance from the rotation feature.|Spring tension adjustment mechanism
09562690|An air swirler, a fuel and air admission assembly, and a staged combustor are disclosed. The staged combustor may be equipped with the fuel and air admission assemblies incorporating the air swirlers for use in gas turbine engines, such as for example gas turbine engines powering aircraft having supersonic cruise capability.|Swirler, fuel and air assembly and combustor
09562870|The method CND of non-destructive testing of a wind turbine blade includes: stressing the structure of the blade through a modification of a physical characteristic of a fluid filling the hollow interior volume of the blade; observing zones to be tested of the exterior surface of the blade, with the contactless measurement of a physical parameter on points of the exterior surface of the blade; and comparing the map of the values of the physical parameter measured with a reference map. A corresponding system CND for checking the structural integrity of a wind turbine blade includes an aerothermic device for modifying the physical conditions, temperature or pressure, of a fluid filling the hollow interior volume of the blade, a device for contactless measurement of a physical parameter, temperature or dimensions, of the exterior surface of the blade, and a device for processing the measurements.|Method and device for non-destructive testing of wind turbine blades
09563200|The drone (10) comprises an onboard video camera (14) picking up a sequence of images to be transmitted to a remote control. The user selects an exposure mode such as forward or sideways, panoramic or boom plane, tracking, defining a trajectory to be transmitted to the drone. Corresponding setpoint values are generated and applied to a processing subsystem controlling the motors of the drone. Once the drone is stabilized on the prescribed trajectory (38), the exposure by the video camera (14) is activated and the trajectory is stabilized by an open loop control avoiding the oscillations inherent in a servocontrol with feedback loop.|Method for piloting a rotary wing drone for taking an exposure through an onboard camera with minimization of the disturbing movements
09563601|The present invention provides a force sensor correcting method which is simple and capable of performing correction, with the force sensor remaining mounted at the end of an arm without an exchange of an end effector. In the present invention, a force sensor 1 of one robot 101 has already been corrected, and a force sensor 2 of the other robot 102 is an object to be corrected. First, hands 3a, 3b of a pair of robots 101, 102 are made to abut on each other (abutting step). A detected signal of the corrected force sensor 1 of the one robot 101, generated by execution of the abutting step, is converted into a measured value indicating a force or a moment (measurement step). Based on the measured value obtained in the measurement step, a value indicating a force or a moment acting on the hand 3b of the other robot 102 due to a reaction generated by the abutting step is obtained (calculation step). The conversion data is updated such that a detected signal, outputted by the force sensor 2 as the object to be corrected of the other robot 102 in the abutting step, is converted into an identical value to the value indicating the force or the moment obtained in the calculation step (correction step).|Force sensor correcting method
09563670|Methods, computer readable media, and apparatuses for building data models and performing model-based analytics are presented. A data analytics system may be implemented including software components to provide a data analytics platform and/or a data analytics programming interface. The components of the data analytics system may allow users to create and execute software applications to build data models model-based analytics functionality such as classification and prediction. For example, a programming interface may allow users to build data models of various predetermined model types, such as statistical data models, spatial statistical data models, graphical data models, pattern mining data models, clustering data models, and machine learning data models, among others, based on an input data set. A parallel computing infrastructure, for example, a cloud computing environment, may be used to build data models and perform model-based analytics with distributed processing and distributed storage.|Data analytics system
09563741|Illustrative embodiments of custom knowledgebases and sequence datasets, as well as related methods, are disclosed. In one illustrative embodiment, one or more computer-readable media may comprise a custom knowledgebase and an associated sequence dataset. The custom knowledgebase may comprise a plurality of assertions that have been automatically extracted from a plurality of publications, where each of the plurality of assertions encodes a relationship between a subject and an object. The sequence dataset may comprise a plurality of called biological sequences, where each of the plurality of called biological sequences is associated with one or more of the plurality of assertions of the custom knowledgebase.|Constructing custom knowledgebases and sequence datasets with publications
09563840|A parallel convolutional neural network is provided. The CNN is implemented by a plurality of convolutional neural networks each on a respective processing node. Each CNN has a plurality of layers. A subset of the layers are interconnected between processing nodes such that activations are fed forward across nodes. The remaining subset is not so interconnected.|System and method for parallelizing convolutional neural networks
09563841|Embodiments of the invention relate to a globally asynchronous and locally synchronous neuromorphic network. One embodiment comprises generating a synchronization signal that is distributed to a plurality of neural core circuits. In response to the synchronization signal, in at least one core circuit, incoming spike events maintained by said at least one core circuit are processed to generate an outgoing spike event. Spike events are asynchronously communicated between the core circuits via a routing fabric comprising multiple asynchronous routers.|Globally asynchronous and locally synchronous (GALS) neuromorphic network
09563850|Methods, systems and computer program products for displaying geographical locations with the one or more annotations. In a particular embodiment, a language model is used to obtain the probability distribution of the locations over one or more annotations. Further, the system and the method utilizes the probability data obtained from the language model to determine a probability score for each location over the one or more annotations. Subsequently, one or more geographical locations are displayed on a world map, based on the probability score of the geographical locations over the one or more annotations. In one embodiment, geographical locations may be highlighted using a color code on a heat map overlaid on the world map. The color code may represent the ranking of the geographical locations based on the calculated probability score for each identified geographical location. Further, when the user provides one or more additional annotations, the world map may be dynamically updated to display the relevant geographical locations associated with the updated annotations.|Method and interface for displaying locations associated with annotations
09563851|In an aspect, in general, a programmable computation device performs computations of an inference task specified by a plurality of variables and a plurality of factors, each factor being associated with a subset of the variables. The device includes one or more processing elements. Each processing element includes a first storage for a definition of a factor, a second storage for data associated with the inputs and/or outputs of at least some of the computations, and one or more computation units coupled to the first storage and the second storage for performing a succession of parts of the at least some of the computations that are associated with a factor, the succession of parts defined by data in the storage for the definition of the factor.|Programmable probability processing
09566121|An end effector of a surgical robotic manipulator includes a removeable cutting accessory. The cutting accessory includes a cutting tip and a shaft extending along an axis. A drive member is configured to rotatably drive the shaft of the cutting accessory. An actuator is coupled to the drive member for rotatably driving the drive member. A clutch assembly is supported by and is selectively rotatable relative to the drive member and receives the shaft of the cutting accessory along the axis of the shaft for selectively locking the shaft to the drive member.|End effector of a surgical robotic manipulator
09566711|Device coordinated robotic control technology is described. A network of robotic devices is established. An anthropomorphic motion is sensed from an operator. One or more signals are generated that are representative of at least a portion of the anthropomorphic motion. The one or more signals are converted into a collective set of commands to actuate the network of robotic devices. The collective set of commands is functionally equivalent to the anthropomorphic motion.|Coordinated robotic control
09567021|The present disclosure is directed to robotics, and more particularly to mobile robots capable of climbing stairs in a dynamically stable manner and operate in home environments with one or more of the following features or combinations thereof disclosed herein or in the Detailed Description below.|Dynamically stable stair climbing home robot
09567060|In one embodiment, a non-dedicated, temporarily-installed, aircraft observer bubble door, chair, sonotube ejection system, mission electronics LRU rack and workstation assembly are affixed to a host aircraft, thereby precluding the requirement for dedicated airframe modifications. One embodiment of the present invention also utilizes a multi-axis, articulated, foldable chair temporarily-installed in conjunction with a segmented or one piece pressurized observer bubble door plug and door retraction system. Once installed the subject apparatus can be stowed outboard of the fuselage cargo transit envelope to permit use of the ADS rail system in-flight, without affecting normal air drop operations, crew egress, the flight performance envelope, or emergency procedures of the host aircraft.|Temporarily-installed aircraft observer door plug, chair, sonotube ejection and control system
09567061|A window funnel for an aircraft is provided, which has a ring made of an elastic material, which is arranged by means of an adhesive layer on an outer side of the window funnel, the ring having a hollow profile. The ring serves as a sight screen, light screen and dust screen for the rear side of the window funnel.|Window funnel and window region for an aircraft
09567070|A rotor system for rotor aircraft comprises a rotor hub comprising a plurality of rotor blades, a rotatable rotor mast coupled to the rotor hub, a swashplate assembly comprising a non-rotating ring engaged with a rotatable ring, a plurality of pitch links mechanically coupling the rotatable ring to the plurality of rotor blades, and a swashplate actuator system. The rotatable ring is configured to rotate with the rotor mast, and the non-rotating ring is configured to engage and guide the rotatable ring. The pitch links are configured to control the pitch angle of each rotor blade. The swashplate actuator system consists of: a first actuator and a second actuator, where the first actuator and the second actuator are mechanically coupled to a stationary surface and the non-rotating ring.|Tiltrotor control system with two rise/fall actuators
09567071|An aircraft includes a fuselage, a wing, a ducted fan and a controller. The wing and the ducted fan are coupled to the fuselage. The controller is operable to control the aircraft in a vertical flight mode, a horizontal flight more, and transition the aircraft from the vertical flight mode to the horizontal flight mode.|Vertical take off aircraft
09567080|A method and apparatus for determining actions for entities (4, 6) such that a goal is accomplished constraints are satisfied. The method comprises: determining an initial plan comprising actions that, if performed by the entities (4, 6), the goal would be accomplished; determining that a constraint would not be satisfied if the initial plan was implemented; and iteratively performing steps (i) to (v) until a final plan that accomplishes the goal and satisfies the is determined. Step (i) comprises identifying a constraint that is not satisfied in part of the current plan. Step (ii) comprises determining a remedy that, if implemented, satisfies the identified constraint. Step (iii) comprises updating the goal specification to include the remedy. Step (iv) comprises, using the updated goal specification, determining a further plan that accomplishes the goal and the remedy. Step (v) comprises determining whether or not the further plan satisfies each constraint.|Goal-based planning system
09567081|A package delivery system can be implemented to forcefully propel a package from an unmanned aerial vehicle (UAV), while the UAV is in motion. The UAV can apply a force onto the package that alters its descent trajectory from a parabolic path to a vertical descent path. The package delivery system can apply the force onto the package in a number of different ways. For example, pneumatic actuators, electromagnets, spring coils, and parachutes can generate the force that establishes the vertical descent path of the package. Further, the package delivery system can also monitor the package during its vertical descent. The package can be equipped with one or more control surfaces. Instructions can be transmitted from the UAV via an RF module that cause the one or more controls surfaces to alter the vertical descent path of the package to avoid obstructions or to regain a stable orientation.|Maneuvering a package following in-flight release from an unmanned aerial vehicle (UAV)
09567090|A system for pylon attachment for mounting an engine on a structure of an aircraft, or to wings of the aircraft, is provided. The system includes a first attachment mechanism that can be secured to the pylon and a second attachment mechanism that can be secured to the structure of the aircraft. A connection mechanism connects the first and second attachment mechanism. The connection mechanism allows movement of the first attachment mechanism in relation to the second attachment mechanism between first and second positions.|Pylon for mounting an engine on the structure of an aircraft
09567091|A method of preserving rotor speed during a one engine inoperative operation of an rotorcraft, the method can include: detecting a failure of a first engine; monitoring an engine parameter associated with a second engine; using a computer processor to compare the engine parameter to an engine limit; and commanding a decrease collective pitch command when the engine parameter is within a predefined range of the engine limit.|System and method for maximizing aircraft safe landing capability during one engine inoperative operation
09567101|This invention concerns a fuel delivery system for an aircraft engine, including a fuel delivery regulator arranged to receive fuel from a plurality of fuel sources for supply to the engine. An engine operating condition sensor reading is received by a control unit arranged to control operation of the regulator. The control unit actuates the regulator based on a received signal from the engine operating condition sensor in order to vary the volume of fuels from the plurality of fuel sources supplied to the engine during at least a portion of the landing/take-off (LTO) cycle relative to a further portion of the aircraft flight. The different fuels may include kerosene and an alternative fuel, such as a biofuel.|Engine fuel delivery system
09567110|Provided is a testbed for conducting an experiment on a substance in a cryogenic liquid state in a microgravity environment. Such a testbed includes a frame with rectangular nominal dimensions, and a source section supported by the frame for supplying the substance to be evaluated in the cryogenic liquid form. An experiment supported by the frame includes an experiment vessel in fluid communication with the storage tank to receive and condense the substance into the cryogenic liquid state. A sensor senses a property of the cryogenic liquid in the experiment vessel as part of the experiment, and a bus section includes a controller configured to control delivery of the substance to the experiment vessel, and receives property data indicative of the property sensed by the sensor for subsequent evaluation on Earth.|Satellite testbed for evaluating cryogenic-liquid behavior in microgravity
09567111|Herein is disclosed a tool, system and method for refueling on-orbit spacecraft. The tool and system are configured to allow for resupply of spacecraft configured to be propelled by either a bipropellant (oxidizer and fuel) or a monopropellant (typically hydrazine). The refueling tool is particularly suited for resupply of satellites not originally prepared for refueling but the system may also be used for satellites specifically designed for refueling.|System and tool for accessing satellite fill/drain valves during propellant resupply
09567720|An offshore platform for a marine environment includes a regulating tower section supporting at least one offshore wind turbine, at least one buoyancy tube connected between the regulating tower section, the at least one buoyancy tube having a tapered lower end extending to a seabed, and a concrete bed within the seabed. The tapered lower end is a cone-shaped bottom slab having a flat top surface with an apex of the cone-shaped bottom slab pointing downward towards the seabed. The concrete bed includes a reversed cone-shaped indentation to which the cone-shaped bottom slab is to be fixed within that was formed in the concrete bed by the cone-shaped bottom slab prior to the concrete bed hardening to a final design strength.|Offshore platform for a marine environment
09567721|An offshore wind turbine foundation comprising a platform carrying a support for the wind turbine tower in its central region, and a plurality of leg guides in its peripheral region; and a plurality of legs, each of which may be movable between a raised position for transport and lowered positions for resting on the seabed. Each leg is capable of freely sliding in its guide.|Offshore wind turbine foundation, corresponding offshore wind turbine and method for their installation on site
09567910|A fuel manifold and fuel injector arrangement for a gas turbine engine combustion chamber comprises an annular combustion chamber casing arranged around the combustion chamber. A plurality of circumferentially spaced fuel injectors supply fuel into the combustion chamber and a fuel manifold supplies fuel to each of the fuel injectors. The fuel manifold comprises a plurality of flexible fuel pipes and a plurality of T piece connectors. The stem of each connector is mounted on an outer end of a respective one of the fuel feed arms and each flexible fuel pipe interconnects an arm of one connector with an arm of an adjacent connector. Each connector is arranged such that the arms are arranged at angles to the planes containing the axis of the casing and perpendicular to the axis of the casing respectively.|Fuel manifold and fuel injector arrangement for a combustion chamber
09567911|The present invention relates to a power plant for generating electrical power having a burner unit, wherein thermal energy can be produced by burning a fuel, a turbine unit, wherein a rotational movement can be produced with the thermal energy, and a generator unit which is driven by the rotational movement to generate electrical power. The power plant is characterized according to the invention in that in order to produce the thermal energy, in addition to the burner unit, an electric heating unit is provided, through which electrical energy can be converted into thermal energy to drive the turbine unit. In addition the invention relates to a method for generating electrical power.|Power plant and method for generating electrical power
09567970|Diffuser-augmented wind turbines can include a first diffuser ring arranged to form a turbine rotor cowling, the diffuser being fixed to and rotatable with the turbine rotor about the horizontal axis of the wind turbine. The first diffuser ring may have one or more dynamic, aero-elastic, vortex entrainment devices attached to a trailing edge of the diffuser. The first diffuser ring may include one or more slot gaps arranged within its body, each slot gap creating a channel between the interior and exterior surfaces of the first diffuser ring. In some embodiments the diffuser may optionally further include one or more further diffuser rings, the one or more further diffuser rings being static rings (e.g. non-rotatable about the horizontal axis) or dynamic diffuser rings (e.g. rotatable around the horizontal axis).|Wind turbines augmented with rotating diffusers
09567971|A conical fan assembly, having a generally conical support member having an exterior surface and a vertical major axis, and a plurality of generally crescent-shaped fan blades extending from the exterior surface of the support member, wherein the plurality of fan blades define a helix configured to urge a fluid to flow in a spiral flow pattern up and around the support member.|Conical fan assembly for use in a wind turbine for the generation of power
09567980|An arrangement for reducing noise which is generated by a wind turbine blade is provided. The wind turbine blade has a first panel and a second panel. The first and the second panel are arranged at a trailing edge of the wind turbine blade, wherein the first panel is adjacent to the second panel. The first panel includes a first transition zone and the second panel includes a second transition zone. The first transition zone and the second transition zone are engaged in a way that whistle tones produced by a gap of the wind turbine blade, the gap being located between the first panel and the second panel, is reduced or even avoided.|Arrangement to reduce noise originated by a wind turbine blade
09567981|A wind turbine tower is made of reinforced concrete with fiber rovings as reinforcements, wherein the fiber rovings are basalt fiber rovings. In one embodiment, the basalt fiber rovings may include, for example, a bundle of multiple parallel oriented basalt fibers forming a thin rope. In one embodiment, the tower is produced in a slip forming process or slip molding process, wherein the basalt fiber rovings are embedded in the concrete during the slip forming process.|Wind turbine tower and method of production thereof
09568201|A control system may include a thermostat device and boiler control device. The thermostat device may be configured to receive electrical power from second wiring terminals and provide control signals to boiler control device using a second radio when wires are not present in first wiring terminals. The thermostat device may also be configured to receive electrical power from the first wiring terminals and provide the coded control signals to the boiler control device through the first wiring terminals when wires are present in the first wiring terminals. The boiler control device may be configured to receive the control signals from the thermostat device using a third radio and selectively couple the third wiring terminals to fifth wiring terminals to selectively control activation of the boiler-based heating system when wires are not present in fourth wiring terminals.|Environmental control system retrofittable with multiple types of boiler-based heating systems
09568931|A multilayer control framework for a power system includes a hybrid storage system (HSS) to store energy using a plurality of energy storage devices; a local controller coupled to the HSS to smooth output power of wind or photovoltaic energy sources while regulating a State of Charge (SoC) of the HSS; and a system-wide controller coupled to the HSS activated upon an occurrence of one or more energy disturbances with a control strategy designed to improve system dynamics to address the one or more energy disturbances.|Multi-layer control framework for an energy storage system
09569061|An automated process collects and organizes field data from an inspection of a building or other structure such as pipe supports, bridges, buildings, over head supports, and smoke stacks.|System and method for organizing field data obtained through a plurality of devices
09569401|A method to solve large scale linear SVM that is efficient in terms of computation, data storage and communication requirements. The approach works efficiently over very large datasets, and it does not require any master node to keep any examples in its memory. The algorithm assumes that the dataset is partitioned over several nodes on a cluster, and it performs "distributed block minimization" to achieve the desired results. Using the described approach, the communication complexity of the algorithm is independent of the number of training examples.|Parallel training of a support vector machine (SVM) with distributed block minimization
09569721|A system correlates intellectual property analyses, for example, patent claim charts, with respect to analyzed intellectual property and a target product or other intellectual property. Analyses are stored to enable searching and/or creating reports over multiple analyses. Units of the analysis are associated with a context, inherited, e.g., from the intellectual property document's assignment to a relative role within organizational hierarchy; and associated with a context derived from the analysis itself. The analysis and respective documents and/or targets of the analysis can be searched/retrieved/analyzed from the hierarchical analysis, the context analysis, and/or the content of the analysis. This obviates the need to store each analysis as a separate document. The target or annotations may be visually represented by an item such as a thumbnail or hyperlink, and the system automatically associates the item with the appropriate application program.|Computer-implemented method and system for automated infringement and non-infringement claim charts with context associations
09569871|One or more processors receive a dataset that includes a plurality of nodes. One or more processors identify relationships between a plurality of interacting nodes within the dataset. One or more processors determine relationship strength values between a plurality of interacting node pairs within the dataset. One or more processors generate a graphical representation that represents the relationship strength values between the plurality of interacting nodes within the dataset. Interacting node pairs are connected by edges and the edges have a length that correlates with the relationship strength value between the interacting node pairs.|Visualization of relationships and strengths between data nodes
09572520|In a wearable motion assist device, a motion assist device for generating a motion pattern synchronized with a wearer while maintaining a certain phase difference between a motion of the wearer and a motion of the device, and a synchronization based control method for the device are provided. The motion assist device acquires a phase of torque generated by the wearer's motion, applies a value of the phase to a phase oscillator model as an input, performs arithmetic processing, and calculates target torque and a target angle of the device with the motion of the device synchronized with the wearer. It is possible to improve an assisting effect of the device by controlling the device based on the calculated values.|Movement assistance device, and synchrony based control method for movement assistance device
09573181|A spindle mountable camera system connectable to a CNC machine for work piece inspection and identification. The camera system includes a mounting stem connectable to a CNC machine tool holder. The mounting stem includes an air passage connectable to an air supply of the CNC machine. An enclosure is attached to the mounting stem and includes a camera opening. A camera module is disposed within the enclosure and an air supply line is connected between the mounting stem and the camera module. An enclosure cover is pivotably mounted to the enclosure proximate the camera opening. One or more pneumatic cylinders are connected to the air passages and extend between the enclosure and the enclosure cover to move the enclosure cover between an open position and a closed position.|Spindle mountable camera system
09573271|A wearable apparatus for assisting muscle strength includes: a base supported on an upper body of a wearer; a support member coupled to the base and spaced forward at a predetermined distance from the base; and a wire having a first end connected to an arm of the wearer across the support member and supporting the arm of the wearer by lifting the arm in a state of being supported by the support member when a second end of the wire is pulled.|Wearable apparatus for assisting muscle strength
09573281|An industrial robot is provided with a horizontal multistage telescopic device. In the device, a slider is mounted to s base so as to be movable in a first direction and in a second direction which are opposite to each other along the horizontal direction. An output arm has an end in the second direction, the end being provided with an output arm support, and is expanded in the first direction from the output arm support. The output arm support is mounted to a slider so as to be horizontally movable in the first and second directions. The output arm has an end in the first direction, to which an end effector is mounted. A motor is mounted to an end of the slider in the second direction. A rotation transmitting member transmits torque of the motor to a second rotor of a movement mechanism.|Industrial robot provided with horizontal multistage telescopic device
09573670|Methods and apparatuses are disclosed for a self-stabilizing ballonet. A bladder or ballonet is provided within an envelope of a balloon. The bladder includes a spheroid body comprising an equator, a top pole, a bottom pole, and an axis crossing through the top pole and the bottom pole. The distance between two poles may be less than the equatorial distance. The bladder is sized and shaped for insertion into an envelope of a balloon and is inflatable to provide altitude control for the balloon.|Ballonet for a balloon
09573671|An inflation diffuser including a non-rigid first section having a passageway for the passage of lift gas passing through a fill port positioned on a balloon envelope, a porous and non-rigid second section attached to the non-rigid first section, wherein the porous and non-rigid second section is comprised of a mesh material, wherein the non-rigid first section is less porous than the porous and non-rigid second section, and wherein the porous and non-rigid second section is not in contact with the balloon envelope at the end of an inflation process to direct lift gas towards the center of, and away from, the balloon envelope.|Fabric diffuser for high flowrate inflation
09573680|A system and method for robust lift generation through flow separation suppression are presented. A fluid flow is ejected over a lifting surface from a fluid ejection orifice, and a flow direction of the fluid flow over the lifting surface is directed using a plurality of vanes configured in the fluid ejection orifice. The flow direction is rotated in a span-wise direction over the lifting surface by swiveling the vanes.|Method and apparatus for robust lift generation
09573681|A wing-drive mechanism includes at least one sub-mechanism having a motor that drives a drive shaft in a single direction. The sub-mechanism includes a converter means for converting the rotary motion of the drive shaft to a linear or arcuate back-and-forth motion; amplitude control means for controllably varying the extent of the linear or arcuate back-and-forth motion produced by the converter means; and a rotatably mounted output mechanism engaged with the converter means such that when the converter means produces the linear or arcuate back-and-forth motion, a corresponding alternating rotary motion is imparted to the output mechanism. In other embodiments, the invention is also a wing-drive mechanism and a method for configuring pairs of wing-drive mechanisms.|Wing-drive mechanism with unidirectional drive
09573690|A bi-fold valve door and method for controlling aircraft cabin pressure are provided. The bi-fold valve door includes an aft door section and a forward door section, and only the forward door section is selectively rotated about one rotational axis to a position between a closed position and a full-open position, while the aft door section is maintained in its closed position. The forward door section is selectively rotated about the rotational axis to a full-open position to engage the aft door section, while the aft door section is maintained in its closed position. When the forward door section is in the full-open position, the aft door section and the forward door section are simultaneously rotated about another rotational axis.|Thrust recovery outflow valve with a single bi-fold door and method of controlling aircraft cabin pressure
